#,Address,WL,Public,$BLOBZ
1,0x6B2b94B69F03f3B3A917778e610F41F1318A5bf0,6,32,25500000
2,0x1d1DC008ef7E70acc6251858710fE2C7D4e8e431,5,25,20000000
3,0xA0eEd95A0984956F95B954D98E3b2525c37241e1,0,17,12750000
4,0x6C75881D661f2d0d160011BDC967263C02D18357,0,16,12000000
5,0x028e56Cb58F29Af9198E0b446a5014265623360e,0,10,7500000
6,0x00173C4cB23E6d876fcb036bA954A2F9cfCafA19,5,5,5000000
6,0x005537908CdC0551c116A8bd951c5D4486775693,5,5,5000000
6,0x006c77e68d2cE85db549BAC376b4C7283A332447,5,5,5000000
6,0x0174c275B0e8226EEB199bfBBb6b5B30eC3D9135,5,5,5000000
6,0x0180927b59FC9435723E974dA015bC722456139d,5,5,5000000
6,0x0189af79aD1522909CBDb64BEe0048bb6A5d9d78,5,5,5000000
6,0x01BC92cedd1133681fa8Ae177C9b824139AdcE60,5,5,5000000
6,0x01C6fbDaa7264E3A4174b1b66DB3b31BEE20beD3,5,5,5000000
6,0x01D8C737Cf92bAAd532a9F5D5eFb3193d639A9E2,5,5,5000000
6,0x01DD129eDb0dA10678ecF4D5DCF11598e3F1aa0d,5,5,5000000
6,0x01e2012bCca6D2133585775082D7f55331BE742d,5,5,5000000
6,0x01F39644304E036CdA298eceCDe57f878b75371F,5,5,5000000
6,0x020Ee2b3876d33EdE0D7C751a3a4593CAB11b90b,5,5,5000000
6,0x020EE6BC757283Ddd9D8682A5d72cD7AaD414785,5,5,5000000
6,0x021114112f243887D66E3269153539B2F4d900bc,5,5,5000000
6,0x022Fa7392345f6511cD5b8361E9F63Ec48D337BE,5,5,5000000
6,0x024813B4972428003C725EA756348Dcd79B826e6,5,5,5000000
6,0x02fC40b25e05422d940DFd4672de39AA198236A9,5,5,5000000
6,0x030528dC4D1D6132Eb618Bf245241204aB0989e5,5,5,5000000
6,0x030e3e488576B8FbEF29f84Fcc25088B9cEB7dfa,5,5,5000000
6,0x0327cA1483773a655EDb50E872D94c3c235AA70d,5,5,5000000
6,0x032DaCAdA0834E3239662ED4A6EAF038260B6920,5,5,5000000
6,0x0332A05C57a3c9C56F06329fef7B12f30dff8085,5,5,5000000
6,0x033A876783d4A68db84e357791B531B01191fce2,5,5,5000000
6,0x033E0a61aC00288A6388D1c8BaD11a881cA9e212,5,5,5000000
6,0x034eb98b10a29Ea619973f0468D615F9b17E0a72,5,5,5000000
6,0x037B628d51b6e2921C85d098C823AFe33541bD6A,5,5,5000000
6,0x03A507043314ef13A83aFFFbAf15d89055F64666,5,5,5000000
6,0x03A52d720faa3a92Ae7926A6Af607fbFe84cDf5e,5,5,5000000
6,0x03Be29388047f753E969FF0f1e5313939b1BE038,5,5,5000000
6,0x03c636c984874088Ae30C43A92aE1EeD9ddE1f44,5,5,5000000
6,0x0411731Be3b7cBA409ede437472b75004353D81A,5,5,5000000
6,0x0413B621da3adD63B35a88f9C7abE1521DCE587a,5,5,5000000
6,0x042ADC962E2594eF79631D93b20a02ce218684e6,5,5,5000000
6,0x042F53D7250c49f9DCCc54b1A1CFafB16d8A0633,5,5,5000000
6,0x043145A2bf34706451D7653684e9cb2c5FFe7aAF,5,5,5000000
6,0x0432A21519D5B2e1Fe5e51F2b409855a0AfaC4bF,5,5,5000000
6,0x043AC44F8Cec7e359A31415f1e54459A8c2599a0,5,5,5000000
6,0x04551ad00eAf4552adeE6377804E4c5a5c011904,5,5,5000000
6,0x045da7b0a70E009207Ba9206955DDafdB23e58F3,5,5,5000000
6,0x0473f0ec1B6dcb14B2b80394bb2Ea73183316C70,5,5,5000000
6,0x04795cDEE2B677b46878896DAe76BE5CB174dAc6,5,5,5000000
6,0x049118a41940C1a01e39759C6c19EC6A86df309f,5,5,5000000
