#,Address,WL,Public,$BLOBZ
1,0x028e56Cb58F29Af9198E0b446a5014265623360e,0,10,7500000
2,0x000F38c11De32dF3BFD065c37Eec99a00a42546f,5,5,5000000
2,0x00173C4cB23E6d876fcb036bA954A2F9cfCafA19,5,5,5000000
2,0x0174c275B0e8226EEB199bfBBb6b5B30eC3D9135,5,5,5000000
2,0x01C6fbDaa7264E3A4174b1b66DB3b31BEE20beD3,5,5,5000000
2,0x01D8C737Cf92bAAd532a9F5D5eFb3193d639A9E2,5,5,5000000
2,0x020Ee2b3876d33EdE0D7C751a3a4593CAB11b90b,5,5,5000000
2,0x020EE6BC757283Ddd9D8682A5d72cD7AaD414785,5,5,5000000
2,0x021114112f243887D66E3269153539B2F4d900bc,5,5,5000000
2,0x024813B4972428003C725EA756348Dcd79B826e6,5,5,5000000
2,0x02fC40b25e05422d940DFd4672de39AA198236A9,5,5,5000000
2,0x030528dC4D1D6132Eb618Bf245241204aB0989e5,5,5,5000000
2,0x030e3e488576B8FbEF29f84Fcc25088B9cEB7dfa,5,5,5000000
2,0x0327cA1483773a655EDb50E872D94c3c235AA70d,5,5,5000000
2,0x0332A05C57a3c9C56F06329fef7B12f30dff8085,5,5,5000000
2,0x033A876783d4A68db84e357791B531B01191fce2,5,5,5000000
2,0x033E0a61aC00288A6388D1c8BaD11a881cA9e212,5,5,5000000
2,0x037B628d51b6e2921C85d098C823AFe33541bD6A,5,5,5000000
2,0x03A507043314ef13A83aFFFbAf15d89055F64666,5,5,5000000
2,0x03A52d720faa3a92Ae7926A6Af607fbFe84cDf5e,5,5,5000000
2,0x03Be29388047f753E969FF0f1e5313939b1BE038,5,5,5000000
2,0x0413B621da3adD63B35a88f9C7abE1521DCE587a,5,5,5000000
2,0x042276489F26ce13ABE72d0f947821D4D1034201,5,5,5000000
2,0x042F53D7250c49f9DCCc54b1A1CFafB16d8A0633,5,5,5000000
2,0x043145A2bf34706451D7653684e9cb2c5FFe7aAF,5,5,5000000
2,0x043AC44F8Cec7e359A31415f1e54459A8c2599a0,5,5,5000000
2,0x0473f0ec1B6dcb14B2b80394bb2Ea73183316C70,5,5,5000000
2,0x04795cDEE2B677b46878896DAe76BE5CB174dAc6,5,5,5000000
2,0x0493b6988aDD9a904926937Abd80891c6F0D42ff,5,5,5000000
2,0x04c650b361A9f9DEcba87c6b87db11a67bfFcC4E,5,5,5000000
2,0x04f56519dE241935905729A9120758616ffF0B36,5,5,5000000
2,0x05427c09De33ccC5732F033087eBE08086614fFE,5,5,5000000
2,0x054Becf10c79aFa4e60F75B187837bE9Fb83867D,5,5,5000000
2,0x056fcCf01e0e02bbf882157E4E2C4396780f9BE9,5,5,5000000
2,0x057561523E7819d19d7690ECa2ff05a138Fc3B4f,5,5,5000000
2,0x058534b307f97Bd2657bf92aAB09ED7F6be22695,5,5,5000000
2,0x058f15b223985ed5832B8719ae3DFcA30847da72,5,5,5000000
2,0x059F825206540feE5b529091c594a8809B0cF218,5,5,5000000
2,0x05A2d5a13c8610A26125Af7Cdc7f881995AD2fe7,5,5,5000000
